latitude_deg,longitude_deg_east,elevation_m,hemisphere
80.875,147.125,-974.5,North
80.875,149.125,7.0,North
80.875,151.125,-1028.0,North
80.875,153.125,92.0,North
80.875,155.125,-1316.5,North
80.875,157.125,-1429.5,North
80.875,159.125,-1040.5,North
80.875,161.125,-801.5,North
80.875,163.125,-376.0,North
80.875,165.125,808.0,North
80.875,167.125,6.5,North
80.875,169.125,-1321.0,North
80.875,171.125,-2908.0,North
80.875,173.125,-3038.5,North
80.875,175.125,-2923.0,North
80.875,177.125,-2874.5,North
80.875,179.125,-2901.0,North
80.875,181.125,-2783.5,North
80.875,183.125,-2630.5,North
80.875,185.125,-1381.5,North
80.875,187.125,253.5,North
80.875,189.125,1559.5,North
80.875,191.125,1415.0,North
80.875,193.125,575.0,North
80.875,195.125,674.0,North
80.875,197.125,64.0,North
80.875,199.125,-169.0,North
80.875,201.125,310.0,North
80.875,203.125,43.0,North
80.875,205.125,196.5,North
80.875,207.125,487.0,North
80.875,209.125,469.5,North
80.875,211.125,-102.5,North
80.875,213.125,-16.5,North
80.875,215.125,87.0,North
80.875,217.125,-330.5,North
80.875,219.125,-43.0,North
80.875,221.125,-160.0,North
80.875,223.125,-412.5,North
80.875,225.125,-188.0,North
80.875,227.125,490.0,North
80.875,229.125,299.0,North
80.875,231.125,96.0,North
80.875,233.125,-582.5,North
80.875,235.125,-724.0,North
80.875,237.125,-806.5,North
80.875,239.125,-544.5,North
80.875,241.125,-568.0,North
80.875,243.125,-301.5,North
80.875,245.125,324.5,North
80.875,247.125,510.0,North
80.875,249.125,-177.0,North
80.875,251.125,194.0,North
80.875,253.125,142.0,North
80.875,255.125,459.0,North
80.875,257.125,-418.0,North
80.875,259.125,-186.5,North
80.875,261.125,29.0,North
80.875,263.125,-264.0,North
80.875,265.125,-513.5,North
80.875,267.125,-561.0,North
80.875,269.125,-665.5,North
80.875,271.125,-911.0,North
80.875,273.125,-500.5,North
80.875,275.125,206.0,North
80.875,277.125,-28.5,North
80.875,279.125,-484.0,North
80.875,281.125,-503.5,North
80.875,283.125,-295.5,North
80.875,285.125,24.5,North
80.875,287.125,82.0,North
80.875,289.125,-7.5,North
80.875,291.125,474.0,North
80.875,293.125,770.0,North
80.875,295.125,347.5,North
80.875,297.125,-118.5,North
80.875,299.125,-269.5,North
80.875,301.125,-357.5,North
80.875,303.125,-546.0,North
80.875,305.125,-888.0,North
80.875,307.125,-957.5,North
80.875,309.125,-888.0,North
80.875,311.125,-971.5,North
80.875,313.125,-912.0,North
80.875,315.125,-1077.0,North
80.875,317.125,-1001.5,North
80.875,319.125,-1013.0,North
80.875,321.125,-562.5,North
80.875,323.125,-394.0,North
80.875,325.125,-253.5,North
